User_ID,Food_ID,Rating
,,
User1,101,4
User1,102,3
User2,103,2
User3,104,5
User4,105,1
User3,106,2
User5,107,4
User7,108,3
User3,109,5
User6,110,1
User10,111,1
User9,112,2
User13,113,3
User10,114,4
User1,115,5
User1,116,4
User11,117,2
User1,118,3
User12,119,1
User4,120,5
User17,121,1
User3,122,1
User3,123,2
User13,124,5
User2,125,4
User6,126,3
User15,127,5
User9,128,2
User8,129,4
User12,130,3
User19,131,1
User1,132,2
User18,133,2
User5,134,5
User7,135,4
User14,136,4
User9,137,3
User3,138,1
User20,139,2
User2,140,4
User4,141,5
User10,142,3
User6,143,5
User12,144,2
User8,145,3
User3,146,4
User15,147,1
User17,148,1
User5,149,4
User9,150,5
User14,151,3
User10,152,2
User14,153,1
User11,154,4
User13,155,5
User16,156,2
User10,157,3
User4,158,3
User8,159,1
User9,160,2
User17,161,3
User13,162,5
User19,163,4
User15,164,2
User20,165,1
User18,166,1
User11,167,2
User5,168,5
User9,169,4
User13,170,3
User12,171,2
User10,172,5
User3,173,4
User7,174,2
User16,175,5
User15,176,3
User2,177,1
User4,178,1
User11,179,4
User16,180,5
User3,181,2
User19,182,3
User20,183,1
User11,184,2
User18,185,5
User13,186,4
User17,187,2
User4,188,1
User7,189,3
User15,190,5
User9,191,4
User1,192,2
User8,193,3
User2,194,4
User12,195,5
User20,196,4
User18,197,2
User1,198,1
User13,199,2
User4,200,3
User2,201,5
User9,202,4
User14,203,1
User6,204,2
User14,205,3
User2,206,4
User5,207,5
User19,208,3
User10,209,2
User6,210,4
User15,211,5
User8,212,2
User7,213,3
User20,214,1
User4,215,2
User7,216,1
User17,217,3
User9,218,5
User10,219,4
User19,220,1
User8,221,2
User16,222,3
User2,223,2
User7,224,5
User13,225,3
User8,226,4
User8,227,3
User16,228,2
User3,229,1
User9,230,2
User20,231,3
User1,232,4
User7,233,5
User12,234,4
User18,235,2
User20,236,1
User2,237,3
User11,238,2
User16,239,5
User17,240,4
User2,241,1
User4,242,2
User5,243,3
User13,244,5
User19,245,4
User15,246,2
User11,247,5
User12,248,4
User17,249,2
User1,250,5
User16,251,3
User14,252,5
User9,253,4
User18,254,2
User8,255,3
User2,256,1
User13,257,5
User1,258,4
User13,259,1
User2,260,2
User3,261,3
User11,262,1
User5,263,2
User4,264,4
User17,265,3
User12,266,5
User19,267,1
User5,268,5
User16,269,4
User7,270,3
User15,271,2
User11,272,1
User12,273,1
User9,274,5
User1,275,2
User10,276,4
User18,277,1
User14,278,2
User6,279,3
User11,280,1
User20,281,3
User1,282,4
User1,283,3
User2,284,2
User3,285,5
User4,286,1
User3,287,2
User5,288,4
User7,289,3
User3,290,5
User6,291,1
User10,292,1
User9,293,2
User13,294,3
User10,295,4
User1,296,5
User1,297,4
User11,298,2
User1,299,3
User12,300,1
User4,301,5
User17,302,1
User3,303,1
User3,304,2
User13,305,5
User2,306,4
User6,307,3
User15,308,5
User9,309,2
User8,310,4
User12,311,3
User19,312,1
User1,313,2
User18,314,2
User5,315,5
User7,316,4
User14,317,4
User9,318,3
User3,319,1
User20,320,2
User2,321,4
User4,322,5
User10,323,3
User6,324,5
User12,325,2
User8,326,3
User3,327,4
User15,328,1
User17,329,1
User17,330,4
User5,331,5
User9,332,3
User14,333,2
User10,334,1
User14,335,4
User11,336,5
User13,337,2
User16,338,3
User10,339,3
User4,340,1
User8,341,2
User9,342,3
User17,343,5
User13,344,4
User19,345,2
User15,346,1
User20,347,1
User18,348,2
User11,349,5
User5,350,4
User9,351,3
User13,352,2
User12,353,5
User10,354,4
User3,355,2
User7,356,5
User16,357,3
User15,358,1
User2,359,1
